"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall CSAT","Group_Overall CSAT","Numeric_Overall CSAT","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-3PS","Numeric_People-3PS","Product/Premise-3PS","Numeric_Product/Premise-3PS","Process-3PS","Numeric_Process-3PS","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"15","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Terima kasih sudah membuat kami keliling Indonesia versi mini ini dengan penjelasan yang lugas dan tuntas.. Bisa bercanda juga. Setiap informasi diberikan langsung di anjungan","Tourist Information and Guidance","Positive","5","5","5","5","5","5","47cdec97-10e6-4f02-85a9-5a26a2d08e1d","Completed",,"25-04-2026 16:38:15",,"90721",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T09:36:44.2933Z",,,,,,,,,,,,,,,,,
"16","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","c992075a-ea48-44fc-bf5d-392ab7178d73","Completed",,"25-04-2026 16:38:59",,"107494",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T09:37:12.8695Z",,,,,,,,,,,,,,,,,
"17","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Gud",,"Neutral","5","5","3","3","5","5","6d9ce96b-f074-413a-8754-7a00e72d50f1","Completed",,"25-04-2026 16:39:01",,"83362",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T09:37:37.6695Z",,,,,,,,,,,,,,,,,
"18","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","penjelasannya lengkap, ramah, teknik fasilitasi baik, semakin kenal indonesia lebih dalam lagi, terima kasih banyak TMII","Tourist Information and Guidance","Positive","5","5","5","5","5","5","d5c574fc-88cd-41d8-8401-ee919fcaa943","Completed",,"25-04-2026 16:39:34",,"168214",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T09:36:46.0572Z",,,,,,,,,,,,,,,,,
"19","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Menurut saya ini udah asik bgtttt sih cukup lah buat bikin  seneng😄😃😁","Activities and Attractions Enhancement","Positive","4","4","4","4","4","4","016a3686-f541-43e7-8149-de59070aef22","Completed",,"25-04-2026 16:40:10",,"136396",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T09:37:54.1631Z",,,,,,,,,,,,,,,,,
"20","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Sudahh keren sekalii,  saran nya mungkin itu aja sihhh ban nyaa kempes","Facility Cleanliness and Maintenance","Positive","5","5","4","4","5","5","284c7bca-5420-4043-a590-2786eff0e6d0","Completed",,"25-04-2026 16:40:34",,"127475",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-25T09:38:26.5696Z",,,,,,,,,,,,,,,,,
"21","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01",,,,"5","Satisfied","5","baik",,"Positive","5","5","5","5",,,"19028cab-fb09-4eea-b08c-ba53c72582d6","Completed",,"24-04-2026 11:28:27",,"58248",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-24T04:27:28.5730Z",,,,,,,,,,,,,,,,,
"22","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01",,,,"5","Satisfied","5","nyaman",,"Positive","5","5","5","5",,,"a3d7d87e-ddf3-4bbd-b439-26cb07afb018","Completed",,"24-04-2026 11:29:42",,"17928",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-24T04:29:24.8322Z",,,,,,,,,,,,,,,,,
"23","IDM","TMII","SHUTTLE","LRT 2",,,,,"5","Satisfied","5","cepat",,"Positive","5","5","5","5",,,"32807e45-b99f-4343-bf04-c9c777485757","Completed",,"24-04-2026 11:30:10",,"21944",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-24T04:29:48.4518Z",,,,,,,,,,,,,,,,,
"24","IDM","TMII","SHUTTLE","LRT 2",,,,,"5","Satisfied","5","baik",,"Positive","5","5","5","5",,,"ee35321a-f392-46b0-9e07-df33dbd9bc13","Completed",,"24-04-2026 11:30:34",,"19145",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-24T04:30:15.0473Z",,,,,,,,,,,,,,,,,
"25","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01",,,,"5","Satisfied","5","puas",,"Positive","5","5","5","5",,,"deb30bfc-0eeb-418e-acd9-9778ecba7152","Completed",,"24-04-2026 11:31:22",,"41645",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-24T04:30:40.4714Z",,,,,,,,,,,,,,,,,
"26","IDM","TMII","SHUTTLE","LRT 2",,,,,"5","Satisfied","5","nyaman",,"Positive","5","5","5","5",,,"b68496b4-4f01-4982-8316-cae82e53fd49","Completed",,"24-04-2026 11:31:58",,"31187",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-04-24T04:31:27.4586Z",,,,,,,,,,,,,,,,,
